2026-03-02 23:27:46 | app.services.drive_service | WARNING | Connection broken during chunk download: EOF occurred in violation of protocol (_ssl.c:2427)
2026-03-02 23:27:46 | app.services.drive_service | WARNING | Download failed for 1NJ9cA6F2ULzEOM3RFn0TqnWCQwIRHlq5 (Attempt 1): EOF occurred in violation of protocol (_ssl.c:2427)
2026-03-02 23:52:34 | app.services.drive_service | WARNING | Connection broken during chunk download: EOF occurred in violation of protocol (_ssl.c:2427)
2026-03-02 23:52:34 | app.services.drive_service | WARNING | Download failed for 1mFFxsZNhp8TlSBNJfIqVGz61M0cc3xGY (Attempt 1): EOF occurred in violation of protocol (_ssl.c:2427)
2026-03-02 23:52:39 | app.worker | WARNING | [c01e574a-5d3f-49b5-b375-9f06686f0bd3] 🔄 Scheduling retry 1/3 in 2 minutes (at 18:24:39 UTC)
2026-03-02 23:55:02 | app.worker | WARNING | [c01e574a-5d3f-49b5-b375-9f06686f0bd3] 🔄 Scheduling retry 2/3 in 4 minutes (at 18:29:02 UTC)
2026-03-02 23:59:31 | app.worker | WARNING | [c01e574a-5d3f-49b5-b375-9f06686f0bd3] 🔄 Scheduling retry 3/3 in 8 minutes (at 18:37:31 UTC)
2026-03-03 00:07:57 | app.services.drive_service | WARNING | Connection broken during chunk download: EOF occurred in violation of protocol (_ssl.c:2427)
2026-03-03 00:07:57 | app.services.drive_service | WARNING | Download failed for 1mFFxsZNhp8TlSBNJfIqVGz61M0cc3xGY (Attempt 1): EOF occurred in violation of protocol (_ssl.c:2427)
2026-03-03 00:12:13 | app.services.drive_service | WARNING | Connection broken during chunk download: EOF occurred in violation of protocol (_ssl.c:2427)
2026-03-03 00:12:13 | app.services.drive_service | WARNING | Download failed for 1mFFxsZNhp8TlSBNJfIqVGz61M0cc3xGY (Attempt 1): EOF occurred in violation of protocol (_ssl.c:2427)
2026-03-03 00:12:20 | app.worker | WARNING | [c01e574a-5d3f-49b5-b375-9f06686f0bd3] 🔄 Scheduling retry 1/3 in 2 minutes (at 18:44:20 UTC)
2026-03-03 00:14:33 | app.worker | WARNING | [c01e574a-5d3f-49b5-b375-9f06686f0bd3] 🔄 Scheduling retry 2/3 in 4 minutes (at 18:48:33 UTC)
2026-03-03 00:19:02 | app.worker | WARNING | [c01e574a-5d3f-49b5-b375-9f06686f0bd3] 🔄 Scheduling retry 3/3 in 8 minutes (at 18:57:02 UTC)
2026-03-03 00:27:27 | app.services.drive_service | WARNING | Connection broken during chunk download: EOF occurred in violation of protocol (_ssl.c:2427)
2026-03-03 00:27:27 | app.services.drive_service | WARNING | Download failed for 1mFFxsZNhp8TlSBNJfIqVGz61M0cc3xGY (Attempt 1): EOF occurred in violation of protocol (_ssl.c:2427)
